HBA,HBD,HBA ratio,HBD ratio,Solvent,Alpha(à),Bita(?),pi*
[Bmim],[SbF6] ,1,1,Ionic Liquid,0.639,0.146,1.039
[Bmim],[Cl],1,1,Ionic Liquid,0.47,0.87,1.1
[Bmim],[BF4],1,1,Ionic Liquid,0.627,0.376,1.047
[Bmim],Acetate,1,1,Ionic Liquid,0.43,1.05,0.96
[Bmim],[PF6],1,1,Ionic Liquid,0.634,0.207,1.032
[Bmim],[TfO],1,1,Ionic Liquid,0.625,0.464,1.006
[Bmim] ,N(CN)2 ,1,1,Ionic Liquid,0.54,0.71,1.05
[Bmim],[N(Tf)2],1,1,Ionic Liquid,0.617,0.243,0.984
[Bmim],[O2CEt] ,1,1,Ionic Liquid,0.48,1.1,0.94
[Bm2im],[BF4],1,1,Ionic Liquid,0.402,0.363,1.083
[Bmim],Glycolic Acid,1,1,Ionic Liquid,0.44,0.87,1.12
[Bmpy],[N(Tf)2],1,1,Ionic Liquid,0.427,0.252,0.954
[Bm2im],[N(Tf)2],1,1,Ionic Liquid,0.381,0.239,1.01
[Bmim],[H-maleate],1,1,Ionic Liquid,0.32,0.62,1.08
[Emim],[PF6],1,1,Ionic Liquid,0.66,0.2,0.99
[Emim],[NTf2],1,1,Ionic Liquid,0.76,0.28,0.9
[Emim],N(CN)2,1,1,Ionic Liquid,0.53,0.35,1.08
[Emim],[BF4],1,1,Ionic Liquid,0.7,0.26,1.03
[Emim],[ClO4],1,1,Ionic Liquid,0.56,0.41,1.11
[Emim],Dicyanamide,1,1,Ionic Liquid,0.53,0.35,1.08
[Emim],Ethanoate,1,1,Ionic Liquid,0.4,0.95,1.09
[Emim],[NO3],1,1,Ionic Liquid,0.48,0.66,1.13
[Emim],Acetate,1,1,Ionic Liquid,0.4,0.95,1.09
[Emim],[HexOSO3],1,1,Ionic Liquid,0.65,0.71,0.98
[Emim],[OctOSO3],1,1,Ionic Liquid,0.65,0.77,0.93
[C8mim],[NTf2],1,1,Ionic Liquid,0.97,0.28,0.97
[C6mim],[NTf2],1,1,Ionic Liquid,0.65,0.25,0.98
[C4mim],[NTf2],1,1,Ionic Liquid,0.62,0.24,0.98
[C4mim],[OTf],1,1,Ionic Liquid,0.63,0.46,1.01
[C1C1im],[NTf2],1,1,Ionic Liquid,0.82,0.203,0.967
[C3C1im],[NTf2],1,1,Ionic Liquid,0.78,0.23,0.96
[C4C1im],[NTf2],1,1,Ionic Liquid,0.69,0.27,0.94
[C5C1im],[NTf2],1,1,Ionic Liquid,0.64,0.26,0.95
[C6C1im],[NTf2],1,1,Ionic Liquid,0.64,0.27,0.95
[C7C1im],[NTf2],1,1,Ionic Liquid,0.65,0.28,0.94
[C8C1im],[NTf2],1,1,Ionic Liquid,0.64,0.28,0.94
[C9C1im],[NTf2],1,1,Ionic Liquid,0.63,0.27,0.94
[C5C5im],[NTf2],1,1,Ionic Liquid,0.56,0.32,0.94
[C6C6im],[NTf2],1,1,Ionic Liquid,0.57,0.33,0.93
